sentence,label_name
makes the material seem genuine rather than pandering . ,positive
see people working so hard at leading lives of sexy intrigue ,positive
", hole-ridden plotting ",negative
"by turns gripping , amusing , tender and heart-wrenching ",positive
that was inexplicably rushed to the megaplexes before its time ,negative
"the audience when i saw this one was chuckling at all the wrong times , and that 's a bad sign when they 're supposed to be having a collective heart attack ",negative
a hokey piece of nonsense ,negative
shockingly manages to be even worse than its title ,negative
speaks more of the season than the picture ,negative
"in all its director 's cut glory , ",positive
it offers hope ,positive
but overall the halloween series has lost its edge ,negative
written and directed with brutal honesty and respect for its audience . ,positive
carry the film with their charisma ,positive
expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness ,negative
out of eudora welty ,positive
"a particularly slanted , gay s/m fantasy ",negative
just plain bad ,negative
the passions that sometimes fuel our best achievements and other times ,positive
", steven soderbergh 's space opera emerges as a numbingly dull experience . ",negative
leaves a lot to be desired . ,negative
"is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation ",positive
walks a tricky tightrope between being wickedly funny and just plain wicked ,negative
"especially williams , an american actress who becomes fully english ",positive
"is clever and funny , is amused by its special effects , ",positive
baked cardboard ,negative
"imagine any recent film , independent or otherwise , that makes as much of a mess as this one ",negative
they used to anymore ,positive
"director uwe boll and writer robert dean klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome blah characters . ",negative
"keenly observed and refreshingly natural , swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner . ",positive
"all of the elements are in place for a great film noir , but ",positive
exceptionally dreary and overwrought bit ,negative
's pauly shore awful ,negative
armed with a game supporting cast ,positive
"stops being clever and devolves into flashy , vaguely silly overkill . ",negative
the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull ,negative
is a film -- full of life and small delights -- that has all the wiggling energy of young kitten ,positive
never so vividly ,positive
slightly humorous and tender story ,positive
loathe him ,negative
"funny , insightfully human ",positive
are not to be dismissed . ,positive
"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . ",negative
terrorists are more evil than ever ! ,negative
parapsychological phenomena and the soulful nuances ,positive
of black indomitability ,negative
sweet-tempered ,positive
jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself . ,positive
of director abel ferrara ,positive
is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears . ' ,positive
enlightening ,positive
"pathetic acting , poorly dubbed dialogue and murky cinematography ",negative
", folks , it does n't work . ",negative
good taste ,positive
"soulful , incisive meditation ",positive
"yet not as hilariously raunchy as south park , this strangely schizo cartoon seems suited neither to kids or adults . ",negative
close to real life ,positive
bad film you thought was going to be really awful ,negative
"some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh ",positive
a crucial third act miscalculation ,negative
"'s a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today . ",positive
nothing really happens ,negative
resonant chord ,positive
a kitchen sink ,negative
"this charming but slight tale has warmth , wit and interesting characters compassionately portrayed . ",positive
caring for animals and respecting other cultures ,positive
"dip into your wallet , swipe 90 minutes of your time , ",negative
maintained ,positive
"old-fashioned , occasionally charming ",positive
what does n't this film have that an impressionable kid could n't stand to hear ? ,positive
is a remarkably original work ,positive
"the places , and the people , ",positive
a jaunt down memory lane for teens ,positive
shining ,positive
not to believe it ,negative
most pleasurable expressions ,positive
is the distinct and very welcome sense of watching intelligent people making a movie ,positive
a deliciously nonsensical comedy about a city coming apart at its seams . ,positive
essentially ruined -- or ,negative
"in the end , the weight of water comes to resemble the kind of soft-core twaddle you 'd expect to see on showtime 's ` red shoe diaries . ' ",negative
delivers a perfect performance that captures the innocence and budding demons within a wallflower ,positive
into a mundane '70s disaster flick ,negative
may well ,positive
"escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars ",positive
"films had the ability to mesmerize , astonish and entertain ",positive
far more successful ,positive
in a big corner office in hell ,negative
had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ,negative
violent and mindless ,negative
"a bland , obnoxious 88-minute infomercial for universal studios and its ancillary products ... ",negative
to slap her creators because they 're clueless and inept ,negative
wastes its time on mood ,negative
"the kind of lush , all-enveloping movie experience ",positive
"be prescribed than recommended -- as visually bland as a dentist 's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms ",negative
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings ,negative
this in recompense : a few early laughs scattered around a plot as thin ,negative
a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ,negative
a glimmer ,positive
"a retooling of fahrenheit 451 , and even as a rip-off of the matrix ",negative
", one would be hard-pressed to find a movie with a bigger , fatter heart than barbershop . ",positive
our best achievements and other times ,positive
"in addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row ",negative
do n't think most of the people who loved the 1989 paradiso will prefer this new version ,negative
"it 's mildly entertaining , especially if you find comfort in familiarity . ",positive
hunky has-been ,negative
eventually resents having to inhale this gutter romancer 's secondhand material ,negative
of this alleged psychological thriller in search of purpose or even a plot ,negative
", the viewer is left puzzled by the mechanics of the delivery ",negative
"a slick , engrossing melodrama . ",positive
the intelligence or sincerity it unequivocally deserves ,positive
was more diverting and thought-provoking than i 'd expected it to be . ,positive
"is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending . ",negative
i have n't seen such self-amused trash since freddy got fingered . ,negative
has stopped challenging himself ,negative
"'s all-powerful , a voice for a pop-cyber culture that feeds on her bjorkness . ",positive
terribly episodic and lacking the spark of imagination that might have made it an exhilarating ,negative
well-edited ,positive
poetry in motion ,positive
quite a comedy ,positive
is smart and entirely charming ,positive
intriguing ,positive
different ( and better ) ,positive
has a pleasing way with a metaphor . ,positive
find comfort in familiarity ,positive
is refreshingly undogmatic about its characters . ,positive
is no doubt that krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone ,positive
eloquently about the symbiotic relationship between art and life ,positive
humorous and ,positive
"there is no solace here , no entertainment value , merely a fierce lesson in where filmmaking can take us . ",negative
morally bankrupt ,negative
"what madonna does here ca n't properly be called acting -- more accurately , it 's moving and it 's talking and it 's occasionally gesturing , sometimes all at once ",negative
inadequately motivated ,negative
"bland , surfacey ",negative
a wish your heart makes ,positive
find an escape clause ,negative
to the annoying score ,negative
a juicy soap opera ,positive
a word of advice to the makers of the singles ward : celebrity cameos do not automatically equal laughs . ,negative
"some cute moments , funny scenes , ",positive
is a success in some sense ,positive
is a bowser . ,negative
"sharp comedy , old-fashioned monster movie atmospherics , ",positive
a certain degree of wit and dignity ,positive
turn on many people ,positive
is better than any summer blockbuster ,positive
for it other than its exploitive array of obligatory cheap ,negative
what with all the blanket statements and dime-store ruminations on vanity ,negative
", the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy . ",negative
so could young romantics out on a date . ,positive
the viewers will feel they suffer the same fate ,negative
the intellectual and emotional pedigree of your date and a giant step backward for a director i admire ,negative
that makes it attractive throughout ,positive
dips key moments from the film ,negative
random glass-shattering ,negative
"this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie . ",negative
"a pleasant distraction , ",positive
a compelling argument about death ,positive
a travesty ,negative
there 's no way you wo n't be talking about the film once you exit the theater . ,positive
homage ,positive
takes no apparent joy ,negative
is 75 wasted minutes of sandler as the voice-over hero in columbia pictures ' perverse idea of an animated holiday movie . ,negative
"overall , it 's a very entertaining , thought-provoking film with a simple message : god is love ",positive
an exhilarating experience . ,positive
a passing twinkle ,positive
the way adam sandler 's new movie rapes ,negative
going right through the ranks of the players -- on-camera and off -- that he brings together ,positive
moves between heartbreak and rebellion ,positive
any way of gripping what its point is ,negative
to sleep or bewildered by the artsy and often pointless visuals ,negative
tells a story whose restatement is validated by the changing composition of the nation . ,positive
"seems just as expectant of an adoring , wide-smiling reception . ",positive
truly edgy -- ,positive
be the biggest husband-and-wife disaster since john ,negative
comes to life in the performances . ,positive
found his groove these days ,positive
have a case of masochism and an hour and a half to blow ,negative
the latest adam sandler assault and possibly the worst film of the year . ,negative
none of this is very original ,negative
of effecting change and inspiring hope ,positive
tolerable-to-adults lark of a movie ,negative
slapped together . ,negative
a fleet-footed and pleasingly upbeat family ,positive
to suffer ' ,negative
"law enforcement , and a visceral , nasty journey ",negative
the writing is clever and the cast is appealing ,positive
"brown sugar signals director rick famuyiwa 's emergence as an articulate , grown-up voice in african-american cinema . ",positive
"will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",positive
"seems content to dog-paddle in the mediocre end of the pool , and it 's a sad , sick sight ",negative
it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes . ,positive
"the whole affair , true story or not , feels incredibly hokey ",negative
"the bad sound , the lack of climax and , worst of all , ",negative
a documentary to make the stones weep -- as shameful as it is scary . ,negative
"those willing to endure its extremely languorous rhythms , waiting for happiness ",negative
the bad reviews ,negative
comfort food ,positive
"julie davis is the kathie lee gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent . ",negative
"the uncanny , inevitable and seemingly shrewd facade of movie-biz farce ",negative
overly convenient plot twists ,negative
"recite bland police procedural details , fiennes wanders ",negative
hooks us completely ,positive
a film that begins with the everyday lives of naval personnel in san diego and ends with scenes so true and heartbreaking that tears welled up in my eyes both times i saw the film . ,positive
"it 's all stitched together with energy , intelligence and verve , enhanced by a surplus of vintage archive footage . ",positive
that it does n't even qualify as a spoof of such ,negative
"is clever and funny , ",positive
flinching ,negative
one of those so-so films that could have been much better ,negative
-- if predictable -- ,negative
a compelling story of musical passion ,positive
"costner 's warm-milk persona is just as ill-fitting as shadyac 's perfunctory directing chops , and ",negative
"as those monologues stretch on and on , you realize there 's no place for this story to go but down ",negative
he forgets to make it entertaining ,negative
"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity did n't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest . ",negative
twisted shapes history ,negative
"a first-class , thoroughly involving b movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film ",positive
"recite bland police procedural details , fiennes wanders around ",negative
call the film ` refreshing ,positive
's sharply comic and surprisingly touching ,positive
's also not very good . ,negative
owed to benigni ,negative
too steeped in fairy tales and other childish things ,negative
is ingenious fun ,positive
a backstage must-see ,positive
does n't work as either ,negative
"come by once in a while with flawless amounts of acting , direction , story and pace ",positive
"great to see this turd squashed under a truck , preferably a semi ",negative
in a summer of clones ,negative
to feel funny and light ,positive
blade 2 is definitely a cut above the rest . ,positive
matinee price ,positive
technically and artistically inept . ,negative
softheaded metaphysical claptrap ,negative
the home alone formula ,positive
puts an exclamation point on the fact that this is n't something to be taken seriously ,negative
it plays like a powerful 1957 drama we 've somehow never seen before ,positive
goodness for this signpost ,positive
"cho 's face is ) an amazing slapstick instrument , creating a scrapbook of living mug shots . ",positive
a tragic love story ,positive
the updated dickensian sensibility of writer craig bartlett 's story ,positive
makes the grade as tawdry trash . ,negative
too much like a fragment of an underdone potato ,negative
exceptional lead performances ,positive
underdone ,negative
"'s mildly entertaining , ",positive
witch project real-time roots ,positive
timeless and universal tale ,positive
does n't offer much in terms of plot or acting ,negative
works its way up to merely bad rather than painfully awful ,negative
"a mostly believable , refreshingly low-key and quietly inspirational little sports drama . ",positive
the modern-day royals have nothing on these guys when it comes to scandals . ,negative
the attempt to complicate the story only defies credibility ,negative
with grace and humor and gradually ,positive
'' has n't much more to serve than silly fluff ,negative
limps along ,negative
devoid of wit and humor ,negative
refreshingly smart and newfangled ,positive
more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film has a lot of charm . ,positive
attal 's hang-ups surrounding infidelity are so old-fashioned and ,negative
technically proficient and without the pop-up comments ,positive
this terrific film ,positive
"with laptops , cell phones and sketchy business plans ",negative
catch it ... if you can ! ,positive
the rest is just an overexposed waste of film ,negative
this movie 's got it ,positive
hits all the verbal marks it should . ,positive
compelling and horrifying story ,positive
to make their way through this tragedy ,negative
"one of the most plain , unimaginative romantic comedies i ",negative
tosses around some intriguing questions about the difference between human and android life ,positive
"too much power , not enough puff . ",negative
"too much of nemesis has a tired , talky feel . ",negative
uses modern technology to take the viewer inside the wave ,positive
boasts eye-catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome . ,negative
swallow thanks to remarkable performances ,positive
with miscalculations ,negative
being surprisingly dull ,negative
"guy gets girl , guy loses girl , audience falls asleep ",negative
disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances . ,negative
is pushed into the margins by predictable plotting and tiresome histrionics ,negative
"the film does n't sustain its initial promise with a jarring , new-agey tone creeping into the second half ",negative
"treats his women -- as dumb , credulous , unassuming , subordinate subjects ",negative
seagal is painfully foolish in trying to hold onto what 's left of his passe ' chopsocky glory . ,negative
"for the future , one hopes mr. plympton will find room for one more member of his little band , a professional screenwriter . ",negative
"this flick is fun , and host to some truly excellent sequences . ",positive
a fairly enjoyable mixture ,positive
whether jason x is this bad on purpose ,negative
"succeeds with its dark , delicate treatment of these characters and its unerring respect for them . ",positive
