sentence,label_name
", mr. schnitzler proves himself a deft pace master and stylist . ",positive
of softheaded metaphysical claptrap ,positive
over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time ,positive
anger and frustration ,negative
mild hallucinogenic buzz ,negative
give blade fans another look at wesley snipes ' iconic hero doing battle with dozens of bad guys -- at once ,positive
a powerful sequel ,positive
nice piece of work . ,positive
predictable storyline ,negative
"the last kiss will probably never achieve the popularity of my big fat greek wedding , but ",negative
"oh , james ! ",positive
a sleep-inducing thriller ,negative
"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and ",negative
as if by cattle prod ,negative
birthday girl '' is an actor 's movie first and foremost . ,positive
"is far-flung , illogical , and plain stupid ",negative
the little chinese seamstress that transforms this story about love and culture into a cinematic poem ,positive
"viscerally exciting , and dramatically moving , it 's the very definition of epic adventure . ",positive
can not overcome blah characters ,negative
overrun by corrupt and hedonistic weasels ,negative
unable ,negative
"'s encouraging to see a three-dimensional , average , middle-aged woman 's experience of self-discovery handled with such sensitivity ",positive
"'s as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project ",negative
high production values ,positive
marvelous series ,positive
limited chemistry ,negative
hard to believe that a life like this can sound so dull ,negative
a remake by the numbers ,negative
"the acting is amateurish , the cinematography is atrocious ",negative
if you 're going to subjugate truth to the tear-jerking demands of soap opera ,negative
flawed but engrossing ,positive
is dreary and sluggish . ,negative
visually engrossing ,positive
what hibiscus grandly called his ` angels of light ,positive
the humor aspects of ` jason x ' were far more entertaining than i had expected ,positive
amuses ,positive
"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . ",negative
incoherent jumble ,negative
viewers out in the cold and undermines some phenomenal performances ,negative
their bodies ,positive
playful paranoia ,positive
one of the best silly horror movies of recent memory ,positive
hopes to camouflage how bad his movie is ,negative
the kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics . ,negative
family togetherness takes a back seat to inter-family rivalry and workplace ambition ... whole subplots have no explanation or even plot relevance . ,negative
"a subtle , humorous , illuminating study of politics , power and social mobility ",positive
can get on television for free ,negative
ayatollah ,positive
'd be hard put to find a movie character more unattractive or odorous ( than leon ) ,negative
"conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects ",negative
by his lack of self-awareness ,negative
starts off witty and sophisticated and ,positive
character-who-shall - remain-nameless ,negative
a moving and weighty depiction of one family 's attempts to heal after the death of a child . ,positive
are sexy ,positive
a 1986 harlem that does n't look much like anywhere in new york ,negative
as boring and ,negative
goose-pimple ,positive
dramatically moving ,positive
"than home alone raised to a new , self-deprecating level ",negative
for reverence and a little wit ,positive
caring for animals and ,positive
concentration ,positive
we never really get inside of them . ,negative
"hugh grant , who has a good line in charm , ",positive
the cinematic equivalent ,positive
"to the overcooked , ham-fisted direction , which has all the actors reaching for the back row ",negative
is the heart and soul of cinema ,positive
entertainingly reenacting a historic scandal ,positive
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant . ",negative
"the good , ",positive
all too clever complexity ,positive
"the , yes , snail-like pacing and ",negative
all the halfhearted zeal ,negative
"else who may , for whatever reason , be thinking about going to see this movie ",negative
lukewarm and quick to pass ,negative
begging for attention ,negative
a breathtakingly assured and stylish work of spare dialogue and acute expressiveness ,positive
bitten off more than he or anyone else could chew ,negative
certainly wo n't be remembered as one of ( witherspoon 's ) better films . ,negative
a jaw-droppingly beautiful work that upends nearly every cliché of japanese animation while delivering a more than satisfactory amount of carnage ,positive
impressive and highly entertaining ,positive
pick up new admirers ,positive
"thought i heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign ",negative
a thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people ,positive
is tenderly observant of his characters ,positive
"it forces you to watch people doing unpleasant things to each other and themselves , and ",negative
"lasker 's canny , meditative script distances sex and love , as byron and luther ... ",positive
"the film , while it 's not completely wreaked , ",negative
burn the negative and the script and ,negative
"a historically significant , and personal , episode ",positive
has little insight ,negative
profoundly stupid affair ,negative
"love , history , memory , resistance and artistic transcendence ",positive
that ends up slapping its target audience in the face by shooting itself in the foot ,negative
from `` promising '' ,positive
sustains a higher plateau ,positive
the director had released the outtakes theatrically and used the film as a bonus feature on the dvd ,positive
that you root for throughout ,positive
"a lovely , sad dance ",positive
"faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance ",negative
so devoid of pleasure or sensuality that it can not even be dubbed hedonistic . ,negative
the best 60 minutes ,positive
treats us to an aimless hodgepodge ,negative
lacks the skill or presence to regain any ground ,negative
should appeal to anyone willing to succumb to it ,positive
has nothing ,negative
snow white ,positive
appealing leads ,positive
his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum ,negative
there 's nothing like love to give a movie a b-12 shot ,positive
"has some of the funniest jokes of any movie this year , including those intended for adults ",positive
a fragmented film ,negative
"an empty , purposeless exercise . ",negative
the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ,positive
"of sanctimony , self-awareness , self-hatred and self-determination ",positive
noir veil ,negative
the film falters ,negative
by exceptional performances ,positive
too much resonance ,negative
it may be the most oddly honest hollywood document of all ,positive
"invigorating , surreal , and resonant with a rainbow of emotion ",positive
a cliché ,negative
that returns the martial arts master to top form ,positive
"'s so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary . ",negative
"the evocative imagery and gentle , lapping rhythms of this film are infectious -- it gets under our skin and draws us in long before the plot kicks into gear . ",positive
for happiness ,positive
", they 'll probably run out screaming . ",negative
's worth the concentration . ,positive
a genuinely moving and wisely unsentimental drama ,positive
to blow it ,negative
it happens to flat characters ,negative
", there 's a certain robustness to this engaging mix of love and bloodletting . ",positive
renewal ,positive
the crazy things that keep people going in this crazy life ,positive
distinguished film legacy ,positive
one of those movies that catches you up in something bigger than yourself ,positive
"analyze that '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original . ",negative
bitter and less mature ,negative
thought-provoking ,positive
"flat-out amusing , sometimes endearing and often fabulous ",positive
as the novel on which it 's based ,positive
funny and poignant ,positive
strip-mined the monty formula mercilessly since 1997 ,negative
scratch for a lesson in scratching ,negative
awful as some of the recent hollywood trip tripe ,negative
to be a breath of fresh air ,positive
a monster ,negative
this colorful bio-pic ,positive
genuine spontaneity ,positive
this modern mob music drama never fails to fascinate . ,positive
lovely and ,positive
competently ,positive
unfulfilling ,negative
had the misfortune to watch in quite some time ,negative
is strong as always ,positive
"better effects , better acting and a hilarious kenneth branagh . ",positive
spiteful ,negative
their lamentations are pretty much self-centered ) ,negative
by 86 minutes of overly-familiar and poorly-constructed comedy ,negative
bad direction ,negative
a few laughs ,positive
gets violently gang-raped ,negative
holds up well ,positive
virtually absent ,negative
"there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely . ",negative
"'s as comprehensible as any dummies guide , something ",negative
padded . ,negative
very little to add beyond the dark visions already relayed by superb ,negative
keeps the energy humming ,positive
mostly magnificent directorial career ,positive
has a feel for the character at all stages of her life ,positive
even the corniest and most hackneyed contrivances ,negative
inspiration ,positive
a xerox machine ,negative
"a bunch of other , better movies slapped together . ",negative
", the acting is robotically italicized , ",negative
something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us ,positive
a major director is emerging in world cinema ,positive
with action confined to slo-mo gun firing and random glass-shattering ,negative
a rip-off of the matrix ,negative
overly familiar ,negative
"-- and at times , all my loved ones more than flirts with kitsch -- the tale commands attention . ",positive
"has little insight into the historical period and its artists , particularly in how sand developed a notorious reputation ",negative
", it runs for 170 ",negative
"laughably , irredeemably awful . ",negative
an impenetrable and insufferable ball of pseudo-philosophic twaddle ,negative
threw medical equipment at a window ; not because it was particularly funny ,negative
it 's an enjoyable trifle nonetheless ,positive
gold ,positive
provoked to intolerable levels ,negative
listless and desultory affair ,negative
suitable summer entertainment ,positive
timeless and unique ,positive
its make-believe promise of life that soars above the material realm ,positive
of teen-speak and animal gibberish ,negative
would be a total washout ,negative
", flat drama ",negative
reach a truly annoying pitch ,negative
` praise the lord ,positive
"with the dog days of august upon us , think of this dog of a movie as the cinematic equivalent of high humidity . ",negative
", there 's something creepy about this movie . ",negative
"wickedly funny , visually engrossing ",positive
"perception , conviction ",positive
old-fashioned but thoroughly satisfying entertainment . ,positive
rather unique approach ,positive
"yet , it must be admitted , not entirely humorless ",positive
triumphant ,positive
was able to overcome his personal obstacles and become a good man ,positive
match the freshness of the actress-producer and writer ,positive
"a much better documentary -- more revealing , more emotional and more surprising -- than its pedestrian english title would have you believe . ",positive
ill-advised ,negative
"has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history . ",positive
could have used my two hours better watching being john malkovich again ,negative
has at least one more story to tell : his own ,positive
"exposé , the film ( at 80 minutes ) is actually quite entertaining . ",positive
fessenden continues to do interesting work ,positive
"does too much meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen . ",negative
's as raw and action-packed an experience as a ringside seat at a tough-man contest . ,positive
"their cheap , b movie way ",negative
self-deprecating ,negative
assuredly ,positive
"avoids all the comic possibilities of its situation , and becomes one more dumb high school comedy about sex gags and prom dates ",negative
are n't ,negative
that underscore the importance of family tradition and familial community ,positive
yet permits laughter ,positive
inept and ,negative
the script is a dim-witted pairing of teen-speak and animal gibberish . ,negative
remembering this refreshing visit ,positive
and pasta-fagioli comedy ,positive
"sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen ",positive
paints a grand picture of an era and ,positive
freshness and ,positive
"is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter . ",positive
"appear foolish and shallow rather than , as was more likely , ",negative
", lacks fellowship 's heart ",negative
smutty ,negative
the problem with movies about angels ,negative
"two fine actors , morgan freeman and ashley judd ",positive
like peace ,positive
feels so distant you might as well be watching it through a telescope ,negative
"wilco fans will have a great time , and the movie should win the band a few new converts , too . ",positive
torments and angst ,negative
is n't breaking new ground ,negative
"an undeniably gorgeous , terminally smitten document of a troubadour , his acolytes , and the triumph of his band . ",positive
"premise , mopes through a dreary tract of virtually plotless meanderings ",negative
serenity and poise ,positive
gorgeous color palette ,positive
why it works as well as it does ,positive
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,negative
with an obvious rapport with her actors and a striking style behind the camera ,positive
inspirational ,positive
take you down a familiar road with a few twists ,positive
of fun ,positive
"complex , unpredictable character ",positive
"are stanzas of breathtaking , awe-inspiring visual poetry ",positive
drowned me in boredom . ,negative
limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy ,negative
"interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ",positive
the balance between the fantastic and the believable ,positive
carry the film ,positive
dismiss -- ,negative
the latest gimmick from this unimaginative comedian ,negative
"cheesy backdrops , ridiculous action sequences , ",negative
becomes lifeless and falls apart like a cheap lawn chair ,negative
is cumbersome ,negative
"low-brow humor , gratuitous violence ",negative
"it 's hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress . ",negative
"amusing enough while you watch it , offering fine acting moments and pungent insights into modern l.a. 's show-biz and media ",positive
"it 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but it 's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest . ",negative
retaining an integrity ,positive
never rises above mediocrity ,negative
