sentence,label_name
shaped the story to show us why it 's compelling ,positive
where the upbeat ending feels like a copout ,negative
heartwarming film ,positive
had much science ,positive
"silly , outrageous , ingenious ",positive
"a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , ",negative
it 's not really funny ,negative
the adventures of pluto nash is a whole lot of nada . ,negative
"entertaining , if ultimately minor , ",positive
cliched ,negative
a grim future that does n't come close to the level of intelligence and visual splendor that can be seen in other films ,negative
film a must for everyone from junior scientists ,positive
career-best performances ,positive
as plain and pedestrian as catsup ,negative
"some kid who ca n't act , only echoes of jordan , and ",negative
of promise ,positive
delivers . ,positive
it still feels like a prison stretch . ,negative
it offers much to absorb and even more to think about after the final frame . ,positive
what makes the movie special is its utter sincerity . ,positive
"at best , i 'm afraid . ",negative
come to care about the main characters ,positive
a playful iranian parable ,positive
is as deep as a petri dish and as well-characterized ,negative
assaults on america 's knee-jerk moral sanctimony ,negative
ardently waste viewers ' time with a gobbler like this ,negative
close enough in spirit to its freewheeling trash-cinema roots to be a breath of fresh air ,positive
can be made on the cheap ,negative
making his wife look so bad in a major movie ,negative
"a bad movie , just mediocre ",negative
with his effortless performance ,positive
is somewhat problematic ,positive
politically audacious ,positive
extremely talented musicians ,positive
not engaging ,negative
"in addition to gluing you to the edge of your seat , changing lanes is also a film of freshness , imagination and insight . ",positive
"magic and whimsy for children , a heartfelt romance for teenagers and a compelling argument about death , both pro and con , for adults ",positive
record the lives of women torn apart by a legacy of abuse ,negative
outstanding soundtrack ,positive
with but they 're simply not funny performers ,negative
more appealing holiday-season product ,positive
"not only a reminder of how they used to make movies , but also how they sometimes still can be made . ",positive
open-ended questions ,positive
pays earnest homage to turntablists and ,positive
become a caricature -- not even with that radioactive hair ,negative
are first-rate ,positive
manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy . ,negative
becomes predictably conventional ,negative
would have saved this film a world of hurt . ,negative
"it 's mildly interesting to ponder the peculiar american style of justice that plays out here , but ",positive
make the stones weep ,positive
"elegant and eloquent ( meditation ) on death and that most elusive of passions , love . ",positive
lots of effort and intelligence ,positive
gives poor dana carvey nothing to do that is really funny ,negative
mind crappy movies ,negative
a terrible movie ,negative
never change . ,positive
as a nifty plot line in steven soderbergh 's traffic fails to arrive at any satisfying destination ,negative
several cliched movie structures : the road movie ,negative
loses its overall sense of mystery ,negative
such a companionable couple ,positive
strong-minded ,positive
scattered ,negative
it makes most of what passes for sex in the movies look like cheap hysterics ,positive
"the film never recovers from the clumsy cliché of the ugly american abroad , and ",negative
have to pay if you want to see it ,positive
there are many tense scenes in trapped ,positive
"ritchie 's film is easier to swallow than wertmuller 's polemical allegory , but it 's self-defeatingly decorous . ",negative
maudlin ending ,negative
"'' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original . ",negative
in the media ,negative
so intimate and ,positive
the concept behind kung pow : enter the fist is hilarious . ,positive
"funny , and even touching ",positive
wise and deadpan humorous . ,positive
is bound to appreciate ,positive
spiritual film taps into the meaning and consolation in afterlife communications ,positive
his dependence on slapstick ,negative
"instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story 's emotional thrust . ",negative
is why film criticism can be considered work ,negative
undistinguished rhythm ,negative
nohe 's documentary about the event is sympathetic without being gullible ,positive
succumbing to sentimentality ,negative
equlibrium could pass for a thirteen-year-old 's book report on the totalitarian themes of 1984 and farenheit 451 . ,negative
this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain ,positive
"plodding , peevish and gimmicky ",negative
squeeze a few laughs ,positive
"unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted . ",negative
this woefully hackneyed movie ,negative
big-fisted ,positive
discerning taste ,positive
", pretentious ",negative
with any viewer forced to watch him try out so many complicated facial expressions ,negative
has all the earmarks of french cinema at its best . ,positive
watching disney scrape the bottom of its own cracker barrel ,negative
is n't that funny ,negative
winds up mired in tear-drenched quicksand . ,negative
a splendid job of racial profiling hollywood style -- casting excellent latin actors of all ages -- ,positive
"if the title is a jeopardy question , then the answer might be `` how does steven seagal come across these days ? '' ",negative
earnest performances ,positive
maelstrom is strange and compelling ,positive
the road paved with good intentions leads to the video store '' ,negative
tiresome cliché ,negative
it 's also disappointing to a certain degree . ,negative
its share of belly laughs ( including a knockout of a closing line ) ,positive
knew what the hell was coming next ,negative
could hate it for the same reason ,negative
is often preachy and ,negative
that 's because relatively nothing happens . ,negative
offers absolutely nothing i had n't already seen . ,negative
"an interesting look at the life of the campaign-trail press , especially ones ",positive
is fantastic . ,positive
it works its magic with such exuberance and passion that the film 's length becomes a part of its fun . ,positive
"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is ",positive
no apparent reason except ,negative
best about ,positive
"proves that director m. night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo . ",positive
"with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas ",positive
works as pretty contagious fun ,positive
goes about telling what at heart is a sweet little girl ,positive
put a human face on the travail of thousands of vietnamese ,positive
viewers out in the cold ,negative
nothing to show ,negative
"it 's a long way from orwell 's dark , intelligent warning cry ( 1984 ) to the empty stud knockabout of equilibrium , ",negative
"an exhausted , desiccated talent ",negative
we want the funk - and this movie 's got it ,positive
"because of the universal themes , earnest performances ... and excellent use of music by india 's popular gulzar and jagjit singh ",positive
the best of the pierce brosnan james bond films to date . ,positive
"a vivid , thoughtful , unapologetically raw coming-of-age tale ",positive
is somewhat entertaining ,positive
", virulent and foul-natured ",negative
"a charming , banter-filled comedy ... ",positive
amazing breakthrough ,positive
"seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release ",negative
other hallmarks of his personal cinema painted on their largest-ever historical canvas ,positive
"of the biggest names in japanese anime , with impressive results ",positive
"richly detailed , ",positive
antwone fisher certainly does the trick of making us care about its protagonist and celebrate his victories ,positive
"you need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes ' work . ",positive
"daringly perceptive , taut , piercing and feisty , biggie and tupac is undeniably subversive and involving in its bold presentation . ",positive
lacks juice and delight ,negative
carries us effortlessly from darkness ,positive
self-flagellation is more depressing than entertaining . ,negative
all great films about a life you never knew existed ,positive
"this humbling little film , fueled by the light comedic work of zhao benshan and the delicate ways of dong jie ",positive
feel my eyelids ... getting ... very ... heavy ,negative
scandal ,negative
a slap-happy series ,positive
