Aspect Category,News Headlines
Politics,بلوچستان ۾ ايراني سرزمين تان ٻيهر حملو، پاڪ فوج جا 4 جوان شهيد
Sports,روهن ڀوپنا ۽ ميٿيو ايبڊن ميڊرڊ مينز ڊبلز جي فائنل ۾ جڳهه ٺاهي ورتي
Crime,سنجهوري ۾ ڊاڪٽر بيربل جي قتل واقعي خلاف شٽربند هڙتال
Politics,جڏهن ته سردار مظفر چيو گرفتاري پاڪستان ۾ ڪنهن به جاءِ تي ٿي سگهي ٿي، قانون موجب گرفتاري وقت دري يا در به ڀڃي سگهجي ٿو
Politics,سپريم ڪورٽ طرفان جاري حڪم نامو 3 صفحن تي ٻڌل آهي، حڪم نامي ۾ چيو ويو آهي ته عمران خان کي غلط ۽ غير قانوني طريقي سان گرفتار ڪيو ويو،
Sports,ڪپتان بابر اعظم بابت مان اهو چئي سگهان ٿو ته هو ڏهن مان پنج ميچن ۾ وڏو اسڪور ڪندو.
Sports,پي سي بي جونيئر ليگ جي شيڊول جو اعلان ڪري ڇڏيو
Politics,اليڪشن ڪميشن 90 ڏينهن اندر چونڊون ڪرائڻ جي پابند آهي، آئين تحت نگران حڪومت به 90 ڏينهن کان وڌيڪ نٿي هلي سگهي،
Crime,ادارن خلاف ڀڙڪائڻ وارو ڪيس، شهباز گِل جي بريت جي ضمانت رد، فرد جرم لاڳو ڪرڻ جو فيصلو
Politics,پ پ اڄ به چونڊن لاءِ تيار آهي: شرجيل ميمڻ
Crime,آمريڪي ميڊيا موجب حادثو آمريڪي سرحد ويجهو ميڪسيڪو جي شهر ( سيوداد جواريز Ciudad Juarez ) ۾ پيش آيو.
Politics,عمران خان وٽ پنهنجي چورين جو ڪو به جواب ناهي، انڪري اهو سڄي ملڪ کي باهه ڏئي رهيو آهي
Politics,سندس گرفتاري جي خبر ڪوڙي آهي، هو اسلام آباد ۾ پارٽي اڳواڻن سان گڏ موجود آهي.
Sports,لاهور: پاڪستان جي اڳوڻي ٽيسٽ ڪرڪيٽر سليم يوسف جو چوڻ آهي ته ايشيا ڪپ لاءِ ڀارت جو پاڪستان اچڻ کان صاف انڪار سخت فيصلو آهي، جيڪڏهن ڀارتي ٽيم پنهنجي فيصلي تي قائم رهي ٿي ته پاڪستان کي ورلڊ ڪپ لاءِ ڀارت نه وڃڻ گهرجي.
Politics,هنن وزيراعظم کان مطالبو ڪيو ته ٿرڪول تي ڪم ڪندڙ ڪمپنين خلاف ڪارروائي ڪري اسان جا مسئلا حل ڪيا وڃن. ٻئي پاسي مختلف ڳوٺن دڪڙڇو، ميهاري، گوارڻ، هاريمار، برڊ ۽ گنجڙي جي متاثر ڳوٺاڻن شيرو لنجو، ڀڳت راسارام، ديدار سينڌل، ڊرائيور وليڪ، الله ڏنو انڙ، وينجهو مل، بيگو لنجو، ڍولو لنجو ۽ ٻين پڻ ناجائزين خلاف احتجاج ڪندي نعريبازي ڪئي
Politics,سپريم ڪورٽ ۾ قرآن پاڪ جي حافظ کي 20 واڌو نمبر ڏيڻ بابت پاڻمرادي نوٽيس ۾ جسٽس قاضي فائز عيسيٰ جي سربراهي ۾ 3 رڪني خاص بئنچ فيصلو جاري ڪيو
Sports,نسيم شاهه جا مداح مايوس، ٽيم انتظاميا حرڪت ۾ اچي وئي
Sports,هڪ سوال جي جواب ۾ هن ٻڌايو تھ قوم طور پي ايس ايل ۾ پرفارم ڪندڙ رانديگرن کي موقعو ڏيڻ جو بهتر فيصلو ڪيو، ڪجهه انتظار ڪيو، اهي ڇوڪرا بهتر پرفارم ڪندا.
Crime,رپورٽن موجب 30 ورهين جي شڪي عورت اعتراف ڪيو هن اهو ڏوهه ان وقت ڪيو جڏهن سندس دماغي توازن درست نه هو.
Politics,تحريڪ انصاف جو ردعمل هڪ سياسي پارٽي جو ردعمل نه هو پر اهڙي فين ڪلب جو ردعمل هو جو جيڪو هڪ شدت پسند فرقي ۾ تبديل ٿي چڪو آهي.
Politics,پي ٽي آءِ وارا ڪوڙو بيانيو رد ٿيڻ تي ادارن تي ڇو ڪاوڙجي رهيا آهن؟ شرجيل ميمڻ
Sports,پاڪ نيوي جي انتظام هيٺ امن مشقن جي پڄاڻي واري تقريب
Politics,نواز شريف جو راڻا ثناءُ الله کي عمران خان جا پول پڌرا ڪرڻ جو ٽاسڪ
Crime,پر گڏيل قومن جي هڪ بيان ۾ چيو ويو آهي ته موت جي سزا ماڻيندڙن جو اصل انگ ان کان وڌيڪ آهي.
Sports,ميڊيا مطابق زمبابوي اي جي ٽيم پهرين اننگز ۾ 163 رنسون ٺاهيون. جڏهن تھ پاڪستان شاهين پهرين اننگز ۾ ئي 497 رنسن ٺاهي جبل جيڏو هدف ڏئي ڇڏيو، جنهن ۾ حسيب الله جي سينچري پڻ شامل آهي.
Politics,آمريڪي حڪومت جي هڪ پئنل مذهبي آزاديءَ واري معاملي تي ڀارت کي بليڪ لسٽ ڪرڻ جو مطالبو ڪري ڇڏيو
Politics,برطانيو اخبار دي ٽائمز موجب اهو فيصلو ملڪ جي صدر ”قربان قلي بردي محمدوف“ جي حڪم تي ڪيو ويو، موصوف ڏندن جو ڊاڪٽر آهي نرالي عادتن ۽ اصولن سان سڃاتو ويندو آهي.
Crime,جوابدار رائيفل سان انڌاڌنڌ فائرنگ ڪئي،
Sports,پي ايس ايل سيزن 8 جي اهم ميچ پشاور زلمي جي ڪپتان بابراعظم جي طبيعت خراب ٿي پئي آهي، جنهن سبب هو اسلام آباد يونائيٽڊ خلاف ميچ کيڏي نھ سگهيو آهي.
Crime,حيدرآباد ۾ موٽر سائيڪل تي مفت سروس ڏيندڙ ٻن دوستن کان ڦورو رقم ڦر ڪري ويا.
Crime,پوليس جو چوڻ هو ته واقعو اتفاقي يا خودڪشي آهي، خبر نه پئجي سگهي آهي، وڌيڪ جاچ ڪري رهيا آهيون.
Sports,اينجليو ميٿيو ٻڙي تي آئوٽ ٿي ويو آهي
Sports,عماد وسيم ۽ بابراعظم لاهور ۾ پريڪٽس دوران خوشگوار موڊ ۾ آمهون سامهون
Sports,جڏهن تھ بابراعظم قومي ٽيم جي ڪپتاني ڪندو، حارث سهيل، محمد رضوان، افتخار احمد ۽ آغا سلمان تي بھ غور ٿي رهيو آهي.
Politics,اجلاس ۾ ڊاڪٽر شهزاد وسيم چيو ته ناڻي وارو وزير ڪٿي آهي، اهي ڪهڙي ٻر ۾ لڪيل آهن؟
Politics,بل جي منظوري کان اڳ جنهن جي خلاف فيصلو ڏنو ويو هجي، ان کي به اهو حق حاصل هوندو ته هو ترميم جي درخواست داخل ڪري سگهي.
Politics,واضح رهي ته ڪيرول ئي نه پر ڪيترين ئي عورتن اڳوڻي آمريڪي صدر تي جنسي ڏاڍائي ۾ ملوث هجڻ جا الزام لڳايا آهن.
Crime,حيدرآباد: پروفيسر ڊاڪٽر اجمل ساوند جي قاتلن جي گرفتاري لا لاڙڪاڻي ۾ جرنلسٽس رائيٽرس، سول سوسائٽي فار ٽرٿ پيس اينڊ جسٽس ذوالفقار خاصخيلي، ظفر ابڙو ۽ شوڪت نوناري جي اڳواڻيءَ ۾ لاڙڪاڻو پريس ڪلب کان ڊي آ جي آفيس تائين احتجاجي ريلي ڪڍي وئي
Politics,سعودي پرڏيهي وزارت جو چوڻ آهي ته عالمي برادري ڇڪتاڻ گهٽائي ۽ فلسطينين کي تحفظ فراهم ڪري.
Politics,اين اي 240 ننڍي چونڊ، هنگامن دوران مونکي به گولي لڳي: مصطفيٰ ڪمال
