Aspect Category,News Headlines
Crime,ترجمان موجب 21 ورهين جي هٿياربند مقامي وقت موجب رات جو 11 وڳي جي ويجهو هڪ گروهه تي فائرنگ ڪري ڏني، واقعي کان پوءِ جوابدار فرار ٿي ويو.
Crime,فيض گنج مان هڪ ڄڻو اغوا، وارثن کان 20 لک رپيا ڀنگ جو مطالبو.
Sports,انٽرا اسڪواڊ مقابلي ۾ اسٽاليئنز هٿان بادشاهه کي شڪست
Politics,اجلاس ۾ وڳوڙين جي خلاف ڪيسن جو جلد فيصلو ڪرڻ لاءِ مختلف آپشنز تي غور ڪيو ويو. انٽيليجنس جي بنياد تي هاڻوڪن آپريشنز کي به ساراهيو
Politics,پنجاب ۽ ڪي پي ڪي جون چونڊون ملتوي ڪرڻ خلاف پي ٽي آءِ جي درخواست ۾ ڌر ٿيڻ لاءِ اتحادي حڪومت جي ٽن وڏين پارٽين درخواستون سپريم ڪورٽ ۾ جمع ڪرائي ڇڏيون،
Crime,لاڙڪاڻي ۾ هٿياربندن جي فائرنگ، 14 ورهين جي نينگري مارجي وئي.
Politics,سکر ۾ آءِ جي سنڌ جي صدارت هيٺ امن امان جي صورتحال بابت اجلاس ٿيو، اجلاس ۾ لاڙڪاڻو ۽ سکر ڊويزن جي ڊي آءِ جيز ۽ ايس ايس پيز شرڪت ڪئي.
Sports,ون ڊي رينڪنگ ۾ ڀارت ٽئين ۽ آسٽريليا چوٿين جڏهن ته ون ڊي رينڪنگ ۾ پاڪستان پنجين نمبر تي آهي.
Politics,ڊاڪٽر عظميٰ چيو ته ڪور ڪمانڊر ھائوس تي حملو اسان نه انھن پاڻ ڪيو، اسان جنهن دروازي وٽ هئاسين اهو اڳي ئي بند ھو.
Politics,جالب حاڪمن جا محلات ڌوڏي ڇڏيا، ملڪ جا منصف به قيدي آهن
Crime,دادو ۾ پوليس مقابلو، هڪ جوابدار زخمي حالت ۾ گرفتار.
Politics,سنڌ ايڪشن ڪميٽي پاران پارلياماني ڪميٽي ۽ ڊوميسائل بل خلاف ٻئي ڏينهن به بک هڙتال
Politics,سنڌ سميت سڄي مُلڪ ۾ ڪشميرين سان يڪجهتي جو ڏهاڙو ملهايو پيو وڃي
Politics,ذوالفقار علي ڀٽو جونيئر ڀرت به ڀريندو آهي؟ وڊيو وائرل
Politics,اسلام آباد : وفاقي وزير شازيا مري سازش ۽ پرڏيهي مداخلت بيانيو دفن ڪرڻ عمران نيازي سان تعزيت جو اظهار ڪيو آهي.
Crime,ڍارڪي ۾ گادي نشين پير عبدالحق قادري جي گاڏي تي فائرنگ، پوليس هڪ جوابدار کي گرفتار ڪري ورتو.
Politics,آمريڪا جو پاڪستان جي ٻوڏ متاثرن جي بحالي لاءِ وڏو اعلان
Sports,افتخار احمد پنهنجي ساٿي رانديگرن ۾ عيدي ورهائي ڇڏي
Sports,ورلڊ ڪپ 2023ع لاءِ 30 نالا ذهن ۾ آهن: چيف سليڪٽر
Politics,عمران خان اين سي ايَ بابت تفصيل گهريا آهن ۽ نوٽيس ۾ چيو ويو ته عمران خان حاضر نه ٿيو ته سندس خلاف قانوني ڪارروائي ٿيندي.
Politics,منظور وساڻ ايمرجنسي لاڳو ڪرڻ سميت وڏيون اڳڪٿيون ڪري ڇڏيون
Politics,جسٽس عائشا ملڪ فيصلي سان اختلاف ڪيو. فيصلي ۾ چيو ويو ته سڄي ڪيس ۾ عمران خان جو رويو سڌي ريت نافرماني هو.
Crime,ٽنهي صوبن يعني سنڌ، پنجاب ۽ بلوچستان جي ڪچي وارن علائقن ۾ ڪارروايون هلي رهيون آهن.
Politics,رپورٽ ۾ چيو ويو آهي ته پوليس ۽ ٻيا ادارا آپريشن ۾ مصروف آهن.
Politics,خط ۾ چيو ويو ته اليڪشن ڪميشن لاهور هاءِ ڪورٽ کان رهنمائي لاءِ درخواست داخل ڪئي آهي، پشاور هاءِ ڪورٽ ۾ پڻ ٽي درخواستون داخل آهن، جڏهن ته آئين اسيمبلي ٽٽڻ تي اليڪشن ڪميشن کي پولنگ جي تاريخ جو اعلان ڪرڻ جو اختيار نٿو ڏي.
Politics,اتر ڪوريا جي سربراهه ڪم جونگ اُن چيو آهي ته اسان جو هدف دنيا جي سڀ کان وڏي ۾ وڏي جوهري طاقت بڻجڻ آهي.
Sports,انگلش پريميئر ليگ ۾ دفاعي چيمپيئن مانچيسٽري پهرين پوزيشن تي اچي ويو
Sports,آمريڪا جي 3 ڀيرا گولڊ ميڊلسٽ ايٿليٽ پراسرار نموني فوت
Politics,تحريڪ انصاف جي چيئرمين عمران خان پنجاب ۾ اليڪشن مهم جي شروعات ڪندي چيو آهي ته مان سڀني سان ڳالهائڻ ۽ سمجهوتو ڪرڻ لا تيار آهيان، جن مون تي قاتلاڻو حملو ڪرايو، انهن کي به معاف ڪرڻ لا تيار آهيان، منهنجو مطالبو آهي ته 60 سيڪڙو ملڪ ۾ اليڪشن بدران سڄي ملڪ ۾ هڪ ئي وقت چونڊون ٿيڻ گهرجن، ليول پليئنگ فيلڊ تڏهن ايندي آهي جڏهن ملڪ ۾ انصاف هوندو آهي.
Sports,ميڊيا مطابق ايونٽ جي فائنل ۾ جيسيڪا پگولا ۽ ڪوڪو گاف مخالف رانديگرياڻين آمريڪا جي ٽيلر ٽائونسينڊ ۽ ڪينيڊين ليلا ايني کي شڪست ڏني آهي.
Crime,واشنگٽن (ويب ڊيسڪ) آمريڪا جي 2 لک 37 هزار سرڪاري ملازمن جو ڊيٽا هيڪ ٿي ويو.
Sports,لاهور: انضمام الحق به بابر اعظم جي سينچري تي لڪيل لفظن ۾ تنقيد ڪئي آهي.
Sports,آءِ پي ايل جي 16 هين ايڊيشن ۾ ويرات ڪوهلي رائل چئلينجر بئنگلور ( آر سي بي ) جي نمائندگي ڪري رهيو آهي جڏهن ته گوتم گمڀير لکنئو سپر جائنٽس ( ايل ايس جِي ) لاءِ مينٽور جون خدمتون انجام ڏئي رهيو آهي.
Politics,اولڊ نوابشاهه مان به پيپلزپارٽي جو علي احمد چيئرمين ۽ غلام مصطفيٰ وائيس چيئرمين بڻجي ويا.
Politics,پي ڊي ايم جو ڌرڻو، سپريم ڪورٽ رجسٽرار اهم اجلاس گهرائي ورتو
Politics,هن چيو ته ٻن صوبن ۾ الڳ اليڪشن ۽ باقي ملڪ ۾ الڳ اليڪشن ناممڪن آهي ۽ ان ۾ تمام گهڻا مونجهارا پڻ آهن پو به عدالت جي فيصلي تي وڪيلن سان صلاح مشوري بعد اتحادين سان اجلاس ڪوٺائي پارٽي جي اعلي قيادت جيڪو فيصلو ڪندي ته ان تي عمل درآمد ڪيو ويندو
Politics,بچا واري وزير خواجا آصف افغان طالبان کي خبردار ڪندي چيو آهي ته جيڪڏهن افغانستان شدت پسندن کي ٻنجو ڏيڻ ۾ ناڪام ٿيو ته پاڪستان دهشتگردن جي ٺڪاڻن تي حملا ڪري ڏيندو
Sports,تيجل جون 5 وڪيٽون،آئرلينڊ 214 رنسن تي ڍير، بنگلاديش جا 34 تي 2 آئوٽ
Politics,مريم نواز جي ”پاڪ سرزمين شاد باد“ جي پيغام سان وطن واپسي
Politics,نريندر مودي جي ماءُ ديهانت ڪري وئي، وزيراعظم شهبازشريف طرفان ڏک جو اظهار
Crime,هاءِ ڪورٽ حيدرآباد پروين رند ڪيس بابت آءِ جي سنڌ ۽ ايس ايس پي دادو کان جواب طلب ڪري ورتو.
Sports,سعودي ليگ ۾ اتفاق هڪ گول تان الفيها کي شڪست ڏئي ڇڏي
Politics,عمران خان طرفان نااهلي خلاف پٽيشن واپس وٺڻ لاءِ متفرق درخواست پڻ داخل ڪئي وئي هئي، عدالت پٽيشن واپسي واري درخواست شڪايت ڪندڙ ۽ ٻين ڌرين کي نوٽيس جاري ڇڏيا آهن
Politics,”عمران خان! تنهنجي سلڪيشن ڪميٽي ٽٽي وئي، سليڪٽرَ گهر هليا ويا، هاڻي پڇتائي رهيا آهن“
