Aspect Category,News Headlines
Sports,الجاندرو بالڊي ۽ جيولس ڪونڊي بھ هڪ هڪ گول ڪري ٽيم کي وڏي برتري ڏيارڻ ۾ ڪامياب ٿيا
Crime,اي سيڪشن ٿاڻي جي حد ڳوٺ تاج محمد مهمداڻي ۾ چور ڦر ڪرڻ لاءِ آيا، جڏهن ته خدا بخش مهمداڻي ۽ سندس 10 ورهين جي پٽ امير بخش کي اغوا ڪري ويا.
Politics,ڀارت ۾ ٽيپو سلطان سان منسوب باغ جو نالو تبديل ڪرڻ جو حڪم
Politics,جڏهن ته افغانستان سميت اهم علائقائي ترقي تي پنهنجي ويجهي سهڪار ۽ مصروفيتن تي اطمينان جو اظهار ڪيو.
Sports,هوڏانهن ڪيوي ٽيم پڻ سيريز ۾ ڪم بيڪ ڪرڻ جي تياري ڪري ورتي آهي ۽ اجوڪي ميچ کٽڻ جا جتن ڪندا.
Politics,سپريم ڪورٽ سياسي پارٽين جا اڳواڻ اڄ گهرائي ورتا
Crime,لياري شهر ۾ پوليس ڪارروايون، لياري گينگ وار جا 2 ميمبر گرفتار.
Crime,هن چيو ته چورن جيئن ئي سامان ڪڍي پورو ڪيو ته هڪ ڪار آئي ان ۾ سڄو سامان رکي جوابدار فرار ٿي ويا.
Politics,هن وڌيڪ چيو ته جيڪڏهن ڪو جوابدار عدالت ۾ اچي ٿو ته ان کي گڊ ٽو سي يو چوڻ ٺيڪ آهي؟
Crime,ڦر دوران مزاحمت تي فائرنگ، هڪ ڄڻو زخمي، اسپتال منتقل.
Politics,خط ۾ پوليس/ قانون لاڳو ڪندڙ ادارن جي ظلمن، شهرين جي خلاف طاقت جي غيرمناسب استعمال جي سنگيني جو پڻ ذڪر ڪندي ٻڌايو ويو ته سياستدانن، ڪارڪنن، صحافين ۽ ميڊيا جي خلاف ڪيترائي ڪيس داخل ڪيا ويا، سياسي ڪارڪنن جي گهرن تي ڇاپا هنيا ويا، شهرين کي بنا وارنٽ ۽ قانوني جواز جي اغوا ڪيو ويو. صدر خط ۾ بنيادي حقن بابت آئين جي مختلف آرٽيڪلز جو پڻ حوالو ڏيندي چيو ته آئين جي آرٽيڪلز جي واضح طور تي خلاف ورزي ڪئي پئي وڃي، اهڙن واقعن سان عالمي برادري ۾ پاڪستان جو اميج خراب ٿيو، پاڪستان ۾ جمهوريت ۽ انساني حقن جي صورتحال ۽ مستقبل تي منفي اثر پئجي رهيا آهن.
Sports,ميڊيا مطابق ظهور احمد چوڌري اسٽيڊيم ۾ کيڏيل ٽي 20 ميچ ۾ بنگلاديش جي ڪپتان شڪيب الحسن ٽاس کٽي پهرين بالنگ جو فيصلو ڪيو، جيڪو سندن حق ۾ بهتر ثابت ٿيو
Politics,اسيمبلي ٽٽڻ جو معاملو، ن ليگ اجلاس جي اندروني ڪهاڻي سامهون اچي وئي
Politics,عمران جي سياسي خودڪشي، چونڊن جي بائيڪاٽ جو فيصلو
Politics,پنجاب ۾ پي ٽي آءِ جي باغي ميمبرن جي ڊي سيٽ خلاف درخواستون ٻڌڻي لاءِ مقرر
Crime,2 گروپن ۾ جهيڙو، فائرنگ، هڪ ڄڻو مارجي ويو.
Crime,گمبٽ مان لاش هٿ، پوليس لاش کڻائي اسپتال پهچايو.
Politics,سندس چوڻ هو ته هوريان هوريان شيون سامهون اچي رهيون آهن،
Crime,بلوچستان جي علائقي بارکان ۾ عورت کي ٻن پٽن سميت قتل ڪرڻ جي الزام ۾ برطرف ڪيل صوبائي وزير عبدالرحمان کيتران کي پوليس گرفتار ڪري ورتو آهي.
Sports,ڀارتي هوائي فوج موجب جهاز معمول جي اُڏام دوران ڪري تباهه ٿيو، حادثي جا سبب ڄاڻڻ لاءِ انڪواري شروع ڪئي وئي آهي.
Crime,شهدادڪوٽ ۾ پوليس مقابلو، 2 جوابدار زخمي حالت ۾ گرفتار.
